,18
415,0.0
416,0.0005249999999999999
417,0.0010499999999999997
418,0.00035
419,0.000375
420,0.0007
421,0.00035
422,0.00035
423,0.0009
424,0.000875
425,0.00035
426,0.000175
427,0.0005249999999999999
428,0.00035
429,0.00035
430,0.0
431,0.00035
432,0.000875
433,0.00035
434,0.0007
435,0.00035
436,0.0014
437,0.000875
438,2.5e-05
439,0.000175
440,0.00035
441,0.000175
442,0.0005249999999999999
443,0.000175
444,0.000175
445,0.0005249999999999999
446,0.00035
447,0.0
448,0.000175
449,0.000175
450,0.00019999999999999998
451,0.00035
452,0.000175
453,0.0005249999999999999
454,0.0
455,0.00035
456,0.00035
457,0.0
458,0.000175
459,0.00035
460,0.000175
461,0.000175
462,0.0
463,0.0005249999999999999
464,0.0005249999999999999
465,0.0
466,0.0007
467,0.00035
468,0.00035
469,0.00035
470,0.0
471,0.0
472,0.000375
473,0.0005249999999999999
474,0.00035
475,0.00035
476,0.000175
477,0.000175
478,0.0
479,0.0
480,0.0
481,0.0005249999999999999
482,0.000175
483,0.0
484,0.00019999999999999998
485,0.000175
486,0.0
487,0.000175
488,0.0
489,0.0
490,0.00035
491,0.00035
492,0.0
493,0.0005249999999999999
494,0.0
495,0.0
496,0.000175
497,0.0
498,0.0
499,0.000175
500,0.0
501,0.00035
502,0.0
503,0.000175
504,0.0
505,0.000175
506,0.0
507,0.00035
508,0.000175
509,0.000175
510,0.0
511,0.0
512,0.000175
513,0.0
514,0.000175
515,0.000175
516,0.0
517,0.0
518,0.0
519,0.000175
520,0.0
521,0.000175
522,0.000175
523,0.000175
524,0.00035
525,0.000175
526,0.000175
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.00035
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.000175
540,0.000175
541,0.0
542,0.0
543,0.000175
544,0.000175
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.000175
561,0.0
562,0.000175
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.000175
569,0.0
570,0.0
571,0.0
572,0.00035
573,0.0
574,0.000175
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.00035
586,0.000175
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.000175
603,0.000175
604,0.0
605,0.000175
606,0.0
607,0.0
608,0.000175
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.000175
617,0.0
618,0.000175
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.000175
626,0.000175
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.000175
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.000175
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
